file name,message
intro-1,"Welcome to Trivia Racetrack! I am Buzz Maverick, your host. Different animals, one goal: conquer the quiz. It's not about speed; it's about chaining those correct answers. Let the Trivia Racetrack thrill begin!"
intro-2,"Welcome to Trivia Racetrack! I am Buzz Maverick. Animals, trivia, and bonus points, no need for speed, just consecutive correct answers. Let the race to victory begin!"
intro-3,"
Welcome to Trivia Racetrack! I am Buzz Maverick. Animals, brainpower, and bonus points, no need for speed, just consecutive correct answers. Let the race begin!"
intro-4,"Welcome to Trivia Racetrack! I am Buzz Maverick, your host. Animals, brains, and bonus points, no speed required, just consecutive correct answers. Let the race commence!"
intro-5,"Welcome to the electrifying Trivia Racetrack! I am Buzz Maverick, your host for this animal-themed showdown. Remember, speed isn't the essence here; it's all about consecutive correct answers for those bonus points. Let the race begin!"
intro-6,"Welcome Ladies and gentlemen! I am your host, Buzz Maverick. Here's the catch: no need to be the fastest; it's all about chaining those correct answers for extra points. Get ready for a sprint towards triumph in the Trivia Racetrack!"
intro-7,"Welcome, ladies and gentlemen! I am your animated host, Buzz Maverick, and today promises a riveting competition. Our participants? Not your standard trivia wizards; They're animals! Get ready Trivia Racetrack!"
intro-8,"Welcome to Trivia Racetrack! I am Buzz Maverick, your host. Brace yourself for a unique competition where diverse contestants engage in a strategic battle of wits. Let the excitement begin!"
intro-9,"Welcome to Trivia Racetrack! I am Buzz Maverick, and today's diverse contestants are set for a strategic battle of wits. Let the excitement unfold!"
intro-10,"Welcome to Trivia Racetrack! I am Buzz Maverick, your host. Get ready for a diverse lineup of contestants engaging in a strategic battle of wits. Let the excitement kick in!"
intro-bacteria,"Ladies and gentlemen, welcome to Trivia Racetrack! I am your lively host, Buzz Maverick, and we've got an extraordinary lineup today. Among our contestants, we have a diverse mix of animals and even a single bacteria in the mix! It's not just a race; it's a cerebral showdown where brains trump speed. String together those correct answers for bonus points, and let the excitement of Trivia Racetrack unfold!"
